2025-02-23 11:08:50,633 | app_log |     INFO | info message
2025-02-23 11:08:50,633 | app_log |  WARNING | warning message
2025-02-23 11:08:50,633 | app_log |    ERROR | error message
2025-02-23 11:08:50,633 | app_log | CRITICAL | critical message
2025-02-23 11:09:32,685 | app_log |     INFO | info message
2025-02-23 11:09:32,687 | app_log |  WARNING | warning message
2025-02-23 11:09:32,687 | app_log |    ERROR | error message
2025-02-23 11:09:32,687 | app_log | CRITICAL | critical message
2025-02-23 11:15:26,662 | app_log |     INFO | info message
2025-02-23 11:15:26,662 | app_log |  WARNING | warning message
2025-02-23 11:15:26,662 | app_log |    ERROR | error message
2025-02-23 11:15:26,662 | app_log | CRITICAL | critical message
